 -422.57 -587.46 -683.70 -841.30 -595.51 -546.17 -549.91 -943.54-1023.99 -904.93
 1058.78  780.27  609.73  661.89  737.13  755.10  758.53  768.71  826.39  842.73
  776.39  666.13  531.91  401.40  317.25  328.30  569.58  747.36  784.33  796.39
  769.11  763.85  737.30  704.40  834.40  826.64  834.01  849.49  921.79  860.46
  856.47  852.52  837.86  781.54  710.63  496.77  242.76  169.62  129.56  140.44
  222.53  412.65  447.48  466.01  443.32  410.32  314.75  158.36   98.25   75.01
   56.17   33.37   13.59  -10.22  -17.99  -15.02  -48.13 -108.90 -388.18 -542.21
 -286.48 -178.89 -152.85 -172.27 -186.27 -119.02 -188.54  -82.62  -39.70  -31.85
  -34.77  -40.28  -54.69 -144.09 -376.16 -676.42 -367.61 -524.96 -323.62 -311.74
 -333.06 -447.77 -430.48 -801.24 -334.19 -698.71 -519.68 -205.43 -147.52 -122.72
 -105.32  -94.63  -83.60  -61.87  -94.48 -140.99 -163.19 -155.28 -180.58 -185.41
 -205.54 -358.53 -341.00 -528.93 -779.70 -409.51 -436.24 -263.76 -280.08 -334.45
 -465.75 -798.29 -708.90 -509.21 -521.62 -261.43 -155.95  -97.80 -241.22 -208.81
  -73.70    7.04   48.06  -77.57  108.66  134.12  148.09  167.03  210.16  268.47
  331.89  406.96  479.62  557.27  627.07  728.26  795.31  851.79  904.24  960.23
  997.81 1028.48 1112.24 1173.86 1250.00 1353.92 1397.56 1453.77 1518.32 1575.66
 1600.13 1634.67 1679.63 1721.54 1753.70 1788.36 1828.96 1869.02 1893.47 1892.93
 1913.52 1921.83 1939.64 1928.21 1919.88 1931.53 1938.23 1989.97 2009.74 2065.64
 2108.65 2136.76 2223.16 2317.76 2419.94 2525.20 2649.79 2776.37 2884.78 2935.59
 3029.74 3111.63 3203.22 3365.62 3567.99 3797.99 4124.88 4534.45 4839.17 4829.34
 4724.41 4789.71 4905.23 4902.51 4773.93 4914.94 5153.38 5560.54 5814.80 6323.86
 7088.00 7228.37 7452.16 7468.76 7255.13 6873.84 6945.34 6964.85 6875.40 6668.20
 -426.26 -455.75 -731.98 -615.53 -758.77 -578.92 -580.87 -588.01 -671.74 -717.26
 -713.90 -865.56 -814.77 -461.30 -651.63 -849.95 -706.94 -270.49 -197.25   -8.08
    9.25   30.18   25.90   41.48   71.12  101.14  129.24  185.58  305.12  483.73
  703.39 1098.41 1338.93 1511.72 1654.91 1742.90 1807.85 1889.72 1954.33 1959.49
 1940.82 1926.12 1921.38 1940.18 1975.92 2015.54 2038.93 2030.29 2005.90 1971.46
 1971.33 2000.91 1999.16 1993.43 1969.33 1938.55 1927.83 1945.65 2006.27 1959.04
 1878.71 1768.63 1597.98 1475.16 1430.55 1423.69 1416.75 1396.94 1375.48 1343.41
 1242.85 1187.27 1133.11 1063.72  945.67  843.65  793.10  761.11  814.07  932.17
 1007.12  792.09  749.34  834.95 1011.64 1147.00 1224.04 1281.18 1338.22 1413.48
 1522.21 1695.28 1971.82 2311.26 2493.67 2442.87 2350.82 2314.78 2409.48 2654.82
 2930.42 3071.08 3112.44 3138.57 3173.27 3208.68 3238.89 3263.76 3281.81 3294.80
 3299.79 3297.41 3287.22 3271.98 3254.18 3233.99 3211.60 3186.66 3160.89 3131.35
 3091.70 3045.93 3007.99 2984.70 2969.57 2961.88 2962.22 2968.59 2976.83 2985.11
 2992.51 2998.23 3001.81 3004.88 3006.96 3007.43 3006.67 3004.15 3001.06 2998.57
 2994.87 2991.65 2987.68 2985.59 2984.59 2985.82 2987.77 2990.11 2994.44 2998.80
 3004.24 3009.68 3016.12 3022.88 3030.10 3037.32 3044.17 3050.77 3056.99 3062.22
 3066.69 3069.36 3070.86 3070.61 3068.67 3065.67 3061.27 3056.61 3051.68 3046.94
 3043.16 3039.64 3037.61 3036.78 3035.68 3036.46 3036.25 3035.69 3032.34 3028.00
 3022.30 3016.61 3012.96 3009.23 3001.21 2988.45 2976.18 2971.06 2971.67 2966.82
 2949.21 2910.42 2840.75 2665.13 2424.71 2286.38 2190.26 2081.10 1966.02 1814.58
 1631.23 1565.22 1558.99 1513.34 1576.70 1520.56 1466.68 1378.71 1253.36 1213.90
