 1827.34 1835.78 1845.63 1855.03 1869.30 1885.58 1899.63 1912.82 1926.38 1938.21
 1944.52 1950.27 1956.03 1955.81 1954.78 1955.16 1954.17 1949.44 1944.70 1947.67
 1949.72 1951.90 1958.86 1967.35 1975.59 1981.02 1986.45 1990.77 1991.79 1992.82
 1995.56 1997.18 1999.22 2001.43 2004.15 2006.68 2008.37 2011.77 2015.11 2018.61
 2022.38 2025.44 2029.15 2033.56 2037.64 2042.16 2047.26 2051.99 2056.07 2060.74
 2065.84 2069.84 2072.69 2075.41 2078.92 2082.99 2087.07 2090.93 2094.67 2097.56
 2101.33 2105.73 2109.68 2113.41 2117.13 2120.86 2123.53 2125.90 2127.45 2130.21
 2132.97 2135.67 2138.68 2141.73 2144.77 2145.60 2146.59 2147.60 2151.61 2155.65
 2159.34 2162.39 2165.43 2168.19 2167.83 2167.15 2166.78 2168.47 2170.24 2172.83
 2177.91 2183.10 2188.13 2191.72 2194.43 2196.66 2197.68 2198.86 2200.78 2204.31
 2209.72 2214.10 2216.80 2218.91 2221.61 2225.48 2228.86 2232.57 2236.63 2240.44
 2244.51 2249.02 2253.75 2258.68 2263.75 2268.24 2272.20 2275.91 2278.99 2281.32
 2283.33 2286.35 2288.64 2290.34 2291.68 2293.02 2294.44 2296.47 2298.49 2300.58
 2302.94 2306.21 2309.40 2312.44 2315.80 2319.52 2323.92 2328.00 2331.93 2335.62
 2338.33 2340.26 2341.55 2345.94 2349.87 2353.68 2358.08 2362.23 2366.05 2368.75
 2371.46 2374.08 2376.45 2378.32 2380.09 2382.12 2384.14 2386.72 2390.44 2393.59
 2395.34 2395.00 2395.29 2397.39 2401.79 2405.28 2407.70 2409.09 2410.79 2414.11
 2418.86 2424.26 2427.52 2429.22 2430.58 2430.87 2430.64 2430.65 2432.73 2435.79
 2190.63 2197.07 2201.81 2204.98 2208.71 2213.85 2219.34 2225.11 2230.26 2235.10
 2240.18 2245.58 2250.36 2253.75 2257.80 2260.63 2261.30 2262.24 2263.11 2263.65
 2262.63 2263.36 2265.81 2266.49 2266.64 2266.30 2266.27 2262.23 2255.11 2250.27
 2230.00 2200.22 2174.47 2127.17 2067.45 2004.06 1937.51 1869.59 1801.45 1735.41
 1670.29 1605.55 1541.92 1478.76 1416.39 1364.64 1315.88 1268.42 1246.23 1222.69
 1191.85 1179.74 1174.41 1172.78 1158.19 1141.98 1124.28 1114.78 1106.92 1101.95
 1105.33 1105.15 1105.01 1110.76 1115.91 1120.73 1125.80 1134.30 1144.36 1156.89
 1166.79 1178.42 1196.03 1219.65 1244.94 1272.37 1300.46 1325.70 1347.03 1374.84
 1401.39 1424.73 1438.97 1455.68 1474.65 1496.62 1517.30 1537.34 1559.37 1573.38
